Scaffold,tRNA,rRNA,rRNAp,Mito,Plastid,GC-dev,GC-out,GC,Len,MD,PD,Organelle,Origin
JADAQX010001234.1,1,0,1,0,0,14.65,1,49.2,10.76,0.0,0.0,0,GCA_015476325.1
JADAQX010000006.1,0,0,0,0,25,0.13,0,34.43,214.32,0.0,1.17,0,GCA_015476325.1
JADAQX010000016.1,0,0,0,5,25,0.24,0,34.32,177.82,0.28,1.41,0,GCA_015476325.1
JADAQX010000750.1,0,0,0,0,5,0.24,0,34.79,25.57,0.0,1.96,0,GCA_015476325.1
JADAQX010000075.1,0,0,0,0,9,1.85,0,32.7,108.0,0.0,0.83,0,GCA_015476325.1
JADAQX010000648.1,0,5,0,0,0,1.47,0,33.08,30.02,0.0,0.0,0,GCA_015476325.1
JADAQX010000584.1,0,5,0,0,0,1.32,0,35.87,33.32,0.0,0.0,0,GCA_015476325.1
JADAQX010000078.1,0,0,0,1,25,1.01,0,35.56,105.98,0.09,2.36,0,GCA_015476325.1
JADAQX010000936.1,0,0,0,0,3,0.91,0,35.47,18.84,0.0,1.59,0,GCA_015476325.1
JADAQX010000513.1,0,1,0,0,0,4.63,1,29.93,36.94,0.0,0.0,0,GCA_015476325.1
JADAQX010000272.1,0,0,0,8,2,2.32,0,36.87,59.33,1.35,0.34,0,GCA_015476325.1
JADAQX010000826.1,0,0,0,0,3,0.39,0,34.17,22.92,0.0,1.31,0,GCA_015476325.1
JADAQX010000208.1,0,0,0,3,6,0.68,0,35.24,69.27,0.43,0.87,0,GCA_015476325.1
JADAQX010001116.1,0,2,0,0,0,1.12,0,33.43,13.88,0.0,0.0,0,GCA_015476325.1
JADAQX010000794.1,2,0,0,0,0,1.0,0,33.55,24.1,0.0,0.0,0,GCA_015476325.1
JADAQX010000553.1,0,2,0,0,0,0.14,0,34.69,34.76,0.0,0.0,0,GCA_015476325.1
JADAQX010000508.1,0,2,0,0,0,0.59,0,33.97,37.29,0.0,0.0,0,GCA_015476325.1
JADAQX010000468.1,0,2,0,0,0,1.66,0,32.9,39.67,0.0,0.0,0,GCA_015476325.1
JADAQX010000428.1,0,0,0,0,3,0.83,0,33.72,42.87,0.0,0.7,0,GCA_015476325.1
JADAQX010000373.1,0,2,0,0,0,0.37,0,34.92,47.04,0.0,0.0,0,GCA_015476325.1
JADAQX010000234.1,0,2,0,0,0,1.61,0,36.16,63.65,0.0,0.0,0,GCA_015476325.1
JADAQX010000158.1,0,2,0,0,0,0.26,0,34.3,78.19,0.0,0.0,0,GCA_015476325.1
JADAQX010000070.1,2,0,0,0,0,1.28,0,35.83,112.78,0.0,0.0,0,GCA_015476325.1
JADAQX010001473.1,1,0,0,0,0,1.62,0,36.17,5.35,0.0,0.0,0,GCA_015476325.1
JADAQX010001050.1,0,1,0,0,0,2.81,0,37.36,15.62,0.0,0.0,0,GCA_015476325.1
JADAQX010000987.1,0,1,0,0,0,0.01,0,34.54,17.13,0.0,0.0,0,GCA_015476325.1
JADAQX010000966.1,0,1,0,0,0,1.61,0,32.95,17.82,0.0,0.0,0,GCA_015476325.1
JADAQX010000818.1,1,0,0,0,0,2.14,0,32.41,23.48,0.0,0.0,0,GCA_015476325.1
JADAQX010000800.1,0,0,0,2,0,0.04,0,34.6,24.05,0.83,0.0,0,GCA_015476325.1
JADAQX010000752.1,0,1,0,0,0,0.34,0,34.89,25.56,0.0,0.0,0,GCA_015476325.1
JADAQX010000673.1,0,1,0,0,0,2.05,0,36.61,28.84,0.0,0.0,0,GCA_015476325.1
JADAQX010000643.1,0,1,0,0,0,0.12,0,34.68,30.23,0.0,0.0,0,GCA_015476325.1
JADAQX010000517.1,0,1,0,0,0,0.61,0,33.95,36.73,0.0,0.0,0,GCA_015476325.1
JADAQX010000503.1,1,0,0,0,0,0.11,0,34.66,37.43,0.0,0.0,0,GCA_015476325.1
JADAQX010000474.1,0,1,0,0,0,1.26,0,33.29,39.39,0.0,0.0,0,GCA_015476325.1
JADAQX010000429.1,0,1,0,0,0,1.02,0,35.57,42.83,0.0,0.0,0,GCA_015476325.1
JADAQX010000364.1,0,1,0,0,0,2.68,0,37.23,47.78,0.0,0.0,0,GCA_015476325.1
JADAQX010000353.1,0,1,0,0,0,1.25,0,35.8,49.16,0.0,0.0,0,GCA_015476325.1
JADAQX010000316.1,0,1,0,0,0,0.82,0,35.37,53.56,0.0,0.0,0,GCA_015476325.1
JADAQX010000295.1,0,1,0,0,0,0.42,0,34.97,55.72,0.0,0.0,0,GCA_015476325.1
JADAQX010000291.1,0,1,0,0,0,1.14,0,35.7,56.53,0.0,0.0,0,GCA_015476325.1
JADAQX010000261.1,0,0,0,0,3,0.35,0,34.2,60.21,0.0,0.5,0,GCA_015476325.1
JADAQX010000254.1,0,1,0,0,0,0.9,0,33.65,62.05,0.0,0.0,0,GCA_015476325.1
JADAQX010000214.1,0,1,0,0,0,0.67,0,33.88,68.1,0.0,0.0,0,GCA_015476325.1
JADAQX010000201.1,0,1,0,0,0,2.04,0,36.59,69.94,0.0,0.0,0,GCA_015476325.1
JADAQX010000148.1,0,1,0,0,0,0.01,0,34.56,79.19,0.0,0.0,0,GCA_015476325.1
JADAQX010000115.1,0,1,0,0,0,0.14,0,34.69,88.85,0.0,0.0,0,GCA_015476325.1
JADAQX010000110.1,0,1,0,0,0,0.76,0,35.32,92.11,0.0,0.0,0,GCA_015476325.1
JADAQX010000107.1,0,1,0,0,0,0.24,0,34.79,92.79,0.0,0.0,0,GCA_015476325.1
JADAQX010000097.1,0,1,0,0,0,0.16,0,34.72,96.98,0.0,0.0,0,GCA_015476325.1
JADAQX010000063.1,1,0,0,0,0,0.6,0,35.15,119.47,0.0,0.0,0,GCA_015476325.1
JADAQX010000058.1,0,1,0,0,0,2.58,0,31.97,122.13,0.0,0.0,0,GCA_015476325.1
JADAQX010000033.1,0,1,0,0,0,0.35,0,34.2,144.17,0.0,0.0,0,GCA_015476325.1
JADAQX010000028.1,0,1,0,0,0,0.66,0,35.21,157.75,0.0,0.0,0,GCA_015476325.1
JADAQX010000026.1,0,1,0,0,0,0.19,0,34.74,161.35,0.0,0.0,0,GCA_015476325.1
JADAQX010000004.1,0,1,0,0,0,0.05,0,34.51,221.99,0.0,0.0,0,GCA_015476325.1
NC_024698.1,0,0,0,50,50,2.63,0,44.49,16.95,29.5,29.5,1,GCA_000738735.2
NW_018113974.1,0,0,0,25,0,8.71,1,33.15,1510.34,0.17,0.0,0,GCA_000738735.2
NW_018114005.1,0,0,0,125,4,3.99,1,37.87,25106.51,0.05,0.0,0,GCA_000738735.2
NW_018114024.1,0,0,0,4,1,4.51,1,37.34,8695.41,0.0,0.0,0,GCA_000738735.2
NW_018113959.1,3,0,0,0,0,6.14,1,48.0,1558.52,0.0,0.0,0,GCA_000738735.2
NW_018114049.1,16,0,0,0,1,3.18,0,45.04,4464.26,0.0,0.0,0,GCA_000738735.2
NW_018114015.1,0,0,0,4,0,3.71,1,38.15,13586.0,0.0,0.0,0,GCA_000738735.2
NW_018114037.1,1,0,0,1,0,5.57,1,47.43,6617.16,0.0,0.0,0,GCA_000738735.2
NW_018114014.1,4,0,0,5,0,0.92,0,40.94,22876.4,0.0,0.0,0,GCA_000738735.2
NW_018113946.1,2,0,0,0,0,4.26,1,46.12,2976.53,0.0,0.0,0,GCA_000738735.2
NW_018114046.1,2,0,0,150,14,2.01,0,39.85,34159.23,0.04,0.0,0,GCA_000738735.2
NW_018114035.1,0,0,0,25,0,6.32,1,48.18,6875.63,0.04,0.0,0,GCA_000738735.2
NW_018114027.1,0,0,0,3,3,2.86,0,39.0,8929.21,0.0,0.0,0,GCA_000738735.2
NW_018113983.1,0,0,0,0,6,2.29,0,39.57,12052.21,0.0,0.0,0,GCA_000738735.2
NW_018114033.1,2,0,0,3,0,1.17,0,40.69,13412.11,0.0,0.0,0,GCA_000738735.2
NW_018114002.1,1,0,0,4,0,1.59,0,43.45,16625.01,0.0,0.0,0,GCA_000738735.2
NW_018113990.1,0,0,0,5,0,1.44,0,43.3,13878.47,0.0,0.0,0,GCA_000738735.2
NW_018113952.1,0,0,0,16,1,4.25,1,37.61,2128.48,0.08,0.0,0,GCA_000738735.2
NW_018114054.1,1,0,0,0,0,4.41,1,46.27,3371.39,0.0,0.0,0,GCA_000738735.2
NW_018114032.1,0,0,0,4,0,0.85,0,41.0,11444.43,0.0,0.0,0,GCA_000738735.2
NW_018113978.1,4,0,0,0,0,1.45,0,43.31,7103.83,0.0,0.0,0,GCA_000738735.2
NW_018113960.1,1,0,0,0,0,4.64,1,46.49,1655.57,0.0,0.0,0,GCA_000738735.2
NW_018113945.1,0,0,0,131,11,2.17,0,39.69,48143.37,0.03,0.0,0,GCA_000738735.2
NW_018114053.1,1,0,0,2,0,0.85,0,41.01,26556.33,0.0,0.0,0,GCA_000738735.2
NW_018113980.1,1,0,0,1,1,0.96,0,42.82,21080.1,0.0,0.0,0,GCA_000738735.2
NW_018114047.1,0,0,0,0,2,1.93,0,39.93,4856.59,0.0,0.0,0,GCA_000738735.2
NW_018114020.1,2,0,0,0,0,1.58,0,43.44,10836.36,0.0,0.0,0,GCA_000738735.2
NW_018114019.1,1,0,0,5,25,4.53,1,46.39,11062.02,0.0,0.02,0,GCA_000738735.2
NW_018114012.1,2,0,0,0,0,0.85,0,41.0,15837.75,0.0,0.0,0,GCA_000738735.2
NW_018114003.1,13,0,0,87,14,3.1,0,38.76,44895.05,0.02,0.0,0,GCA_000738735.2
NW_018113956.1,2,0,0,0,0,1.63,0,43.49,1692.51,0.0,0.0,0,GCA_000738735.2
NW_018114056.1,0,0,0,50,34,0.56,0,41.3,3060.2,0.16,0.11,0,GCA_000738735.2
NW_018114052.1,0,0,0,109,59,0.3,0,42.16,8408.61,0.13,0.07,0,GCA_000738735.2
NW_018114051.1,1,0,0,0,0,3.36,0,45.22,3603.41,0.0,0.0,0,GCA_000738735.2
NW_018114031.1,0,1,0,0,0,2.21,0,39.65,2186.34,0.0,0.0,0,GCA_000738735.2
NW_018113992.1,0,0,0,15,1,4.03,1,37.82,6088.82,0.02,0.0,0,GCA_000738735.2
NW_018113973.1,2,0,0,80,11,3.47,0,38.39,38882.29,0.02,0.0,0,GCA_000738735.2
NW_018113968.1,1,0,0,0,0,2.29,0,39.57,531.31,0.0,0.0,0,GCA_000738735.2
NW_018113963.1,1,0,0,0,0,2.95,0,44.8,2104.67,0.0,0.0,0,GCA_000738735.2
NW_018113955.1,1,0,0,0,25,1.3,0,43.16,3711.12,0.0,0.07,0,GCA_000738735.2
BK010421.1,4,2,2,652,314,7.5,1,44.79,367.81,17.73,8.54,1,GCA_000001735.2
AP000423.1,4,6,6,271,400,1.0,0,36.29,154.48,17.54,25.89,1,GCA_000001735.2
CP002685.1,44,12,5,714,467,1.44,0,35.86,19698.29,0.36,0.24,0,GCA_000001735.2
CP002688.1,79,139,56,242,338,1.37,0,35.93,26975.5,0.09,0.13,0,GCA_000001735.2
CP002686.1,55,401,12,133,332,0.97,0,36.32,23459.83,0.06,0.14,0,GCA_000001735.2
CP002684.1,129,9,2,152,330,1.62,0,35.68,30427.67,0.05,0.11,0,GCA_000001735.2
CP002687.1,55,15,2,68,300,1.1,0,36.2,18585.06,0.04,0.16,0,GCA_000001735.2
NW_023010673.1,0,0,0,20,25,3.85,0,33.42,2.04,98.28,122.85,0,GCA_902201215.1
NC_034696.1,6,6,3,263,400,0.49,0,36.77,157.72,16.67,25.36,1,GCA_902201215.1
NW_023010601.1,0,0,0,25,25,2.81,0,34.46,7.11,35.15,35.15,0,GCA_902201215.1
NW_023010374.1,0,0,0,25,50,2.2,0,39.47,19.23,13.0,26.01,0,GCA_902201215.1
NW_023010241.1,1,1,1,25,25,4.28,1,41.55,28.9,8.65,8.65,0,GCA_902201215.1
NW_023010015.1,1,1,0,125,75,1.33,0,38.59,128.06,9.76,5.86,0,GCA_902201215.1
NW_023010682.1,0,0,0,0,25,2.33,0,34.93,1.12,0.0,222.22,0,GCA_902201215.1
NW_023010486.1,0,0,0,0,50,2.88,0,40.15,12.65,0.0,39.53,0,GCA_902201215.1
NW_023010331.1,0,0,0,0,50,2.84,0,34.43,21.87,0.0,22.86,0,GCA_902201215.1
NW_023010019.1,0,0,0,25,50,1.37,0,38.64,100.29,2.49,4.99,0,GCA_902201215.1
NW_023010102.1,0,0,0,25,0,6.9,1,30.36,51.07,4.9,0.0,0,GCA_902201215.1
NW_023010565.1,0,0,0,1,25,0.73,0,36.53,9.4,1.06,26.59,0,GCA_902201215.1
NW_023010049.1,0,0,0,25,25,0.53,0,36.74,68.93,3.63,3.63,0,GCA_902201215.1
NW_023010080.1,0,0,0,0,25,5.8,1,31.47,56.62,0.0,4.42,0,GCA_902201215.1
NW_023010483.1,0,0,0,0,25,3.43,0,33.84,12.83,0.0,19.49,0,GCA_902201215.1
NW_023010028.1,1,1,0,25,25,0.04,0,37.22,87.29,2.86,2.86,0,GCA_902201215.1
NW_023010571.1,0,0,0,1,7,5.18,1,42.44,8.89,1.12,7.87,0,GCA_902201215.1
NW_023010095.1,0,0,0,3,50,0.09,0,37.17,52.76,0.57,9.48,0,GCA_902201215.1
NW_023010224.1,0,0,0,0,24,0.7,0,36.56,30.33,0.0,7.91,0,GCA_902201215.1
NW_023010128.1,0,0,0,0,25,0.16,0,37.1,44.7,0.0,5.59,0,GCA_902201215.1
NW_023010329.1,0,0,0,1,25,0.34,0,37.6,21.93,0.46,11.4,0,GCA_902201215.1
NW_023010091.1,0,0,0,0,25,0.26,0,37.53,53.63,0.0,4.66,0,GCA_902201215.1
NC_047650.1,54,44,65,510,1658,0.32,0,36.94,43996.93,0.12,0.38,0,GCA_902201215.1
NW_023010101.1,0,0,0,0,23,0.94,0,38.21,51.12,0.0,4.5,0,GCA_902201215.1
NC_047654.1,23,22,32,218,1038,0.28,0,36.99,18233.72,0.12,0.57,0,GCA_902201215.1
NW_023010047.1,0,0,0,25,0,3.51,0,33.76,70.47,3.55,0.0,0,GCA_902201215.1
NC_047652.1,24,24,25,390,899,0.12,0,37.14,24073.53,0.16,0.37,0,GCA_902201215.1
NW_023010033.1,0,0,0,0,25,2.68,0,39.95,82.69,0.0,3.02,0,GCA_902201215.1
NW_023010125.1,0,0,0,0,18,1.75,0,35.51,45.55,0.0,3.95,0,GCA_902201215.1
NC_047651.1,42,33,28,272,1130,0.63,0,36.63,26138.58,0.1,0.43,0,GCA_902201215.1
NW_023010104.1,0,0,0,18,0,2.3,0,39.56,50.74,3.55,0.0,0,GCA_902201215.1
NC_047657.1,16,16,22,215,964,0.49,0,36.77,20428.64,0.11,0.47,0,GCA_902201215.1
NC_047656.1,15,15,28,225,980,0.05,0,37.32,21340.59,0.11,0.46,0,GCA_902201215.1
NC_047655.1,32,32,43,308,1108,0.25,0,37.01,29596.93,0.1,0.37,0,GCA_902201215.1
NW_023010081.1,0,0,0,15,0,3.03,0,40.29,56.18,2.67,0.0,0,GCA_902201215.1
NW_023010007.1,0,0,0,0,25,0.44,0,36.82,159.57,0.0,1.57,0,GCA_902201215.1
NW_023010567.1,0,0,0,6,0,1.82,0,39.09,9.32,6.44,0.0,0,GCA_902201215.1
NW_023010004.1,0,0,0,0,25,0.12,0,37.38,165.53,0.0,1.51,0,GCA_902201215.1
NC_047653.1,33,27,23,158,1092,0.28,0,36.98,24375.38,0.06,0.45,0,GCA_902201215.1
NW_023010063.1,20,1,0,0,0,3.55,0,33.72,60.11,0.0,0.0,0,GCA_902201215.1
NW_023010518.1,1,1,0,0,0,8.77,1,46.03,11.24,0.0,0.0,0,GCA_902201215.1
NW_023010161.1,0,0,0,0,8,1.72,0,38.98,38.32,0.0,2.09,0,GCA_902201215.1
NW_023010077.1,1,1,0,0,0,7.22,1,30.05,57.16,0.0,0.0,0,GCA_902201215.1
NW_023010059.1,1,1,0,0,0,6.61,1,30.65,62.56,0.0,0.0,0,GCA_902201215.1
NW_023010155.1,0,0,0,0,6,0.02,0,37.24,39.28,0.0,1.53,0,GCA_902201215.1
NW_023010037.1,0,0,0,0,8,2.97,0,34.3,78.24,0.0,1.02,0,GCA_902201215.1
NW_023010215.1,0,0,0,4,0,1.81,0,39.08,31.44,1.27,0.0,0,GCA_902201215.1
NW_023010039.1,4,1,0,0,0,3.43,0,40.69,77.6,0.0,0.0,0,GCA_902201215.1
NW_023010470.1,2,2,0,0,0,0.86,0,38.13,13.44,0.0,0.0,0,GCA_902201215.1
NW_023010309.1,2,2,0,0,0,1.39,0,38.65,23.61,0.0,0.0,0,GCA_902201215.1
NW_023010197.1,0,0,0,0,4,0.44,0,37.7,33.41,0.0,1.2,0,GCA_902201215.1
NW_023010036.1,0,0,0,0,6,1.64,0,38.91,78.37,0.0,0.77,0,GCA_902201215.1
NW_023010258.1,1,1,0,0,0,0.09,0,37.36,27.59,0.0,0.0,0,GCA_902201215.1
NW_023010243.1,1,1,0,0,0,3.68,0,40.95,28.82,0.0,0.0,0,GCA_902201215.1
NW_023010204.1,1,1,0,0,0,1.84,0,35.42,32.4,0.0,0.0,0,GCA_902201215.1
NW_023010192.1,1,1,0,0,0,4.07,0,41.34,33.73,0.0,0.0,0,GCA_902201215.1
NW_023010191.1,1,1,0,0,0,0.5,0,37.77,34.09,0.0,0.0,0,GCA_902201215.1
NW_023010149.1,1,1,0,0,0,1.33,0,38.59,40.6,0.0,0.0,0,GCA_902201215.1
NW_023010140.1,1,1,0,0,0,1.6,0,38.86,41.48,0.0,0.0,0,GCA_902201215.1
NW_023010123.1,1,1,0,0,0,0.25,0,37.01,45.6,0.0,0.0,0,GCA_902201215.1
NW_023010064.1,1,1,0,0,0,0.84,0,38.1,59.75,0.0,0.0,0,GCA_902201215.1
NW_023010042.1,1,1,0,0,0,1.15,0,36.11,73.83,0.0,0.0,0,GCA_902201215.1
NW_023010018.1,1,1,0,0,0,2.05,0,39.31,102.65,0.0,0.0,0,GCA_902201215.1
NW_023010016.1,1,1,0,0,0,1.58,0,35.69,127.2,0.0,0.0,0,GCA_902201215.1
NW_023010014.1,0,0,0,0,6,0.42,0,36.85,128.87,0.0,0.47,0,GCA_902201215.1
NW_023010643.1,0,0,1,0,0,0.62,0,37.89,4.92,0.0,0.0,0,GCA_902201215.1
NW_023010273.1,0,0,1,0,0,0.03,0,37.3,26.51,0.0,0.0,0,GCA_902201215.1
NW_023010135.1,0,0,1,0,0,0.68,0,36.58,42.73,0.0,0.0,0,GCA_902201215.1
NC_001453.1,0,0,0,50,50,1.27,0,41.02,15.65,31.95,31.95,1,GCA_000002235.4
NW_022145410.1,148,0,0,0,0,3.13,0,42.88,73.53,0.0,0.0,0,GCA_000002235.4
NW_022145196.1,0,0,0,0,2,2.39,0,37.35,3.66,0.0,5.47,0,GCA_000002235.4
NW_022145585.1,0,0,0,3,2,0.3,0,40.04,21.53,1.39,0.93,0,GCA_000002235.4
NW_022145467.1,0,0,0,4,0,4.19,0,35.56,25.0,1.6,0.0,0,GCA_000002235.4
NW_022145573.1,0,0,0,26,9,2.02,0,37.73,529.31,0.49,0.17,0,GCA_000002235.4
NW_012398705.1,0,0,0,25,25,6.56,0,47.1,2.1,119.05,119.05,0,GCA_000233375.4
NW_012570005.1,0,0,0,17,7,6.41,0,34.12,1.01,167.65,69.03,0,GCA_000233375.4
NW_012560418.1,0,0,0,10,7,4.52,0,36.01,1.07,93.55,65.48,0,GCA_000233375.4
NW_012574036.1,0,0,0,10,6,2.47,0,38.06,1.0,99.9,59.94,0,GCA_000233375.4
NW_012566081.1,0,0,0,10,6,2.9,0,37.63,1.03,96.99,58.2,0,GCA_000233375.4
NC_001960.1,0,0,0,50,50,4.69,0,45.22,16.67,30.0,30.0,1,GCA_000233375.4
NW_012442493.1,0,0,0,10,7,3.45,0,37.09,1.45,69.06,48.34,0,GCA_000233375.4
