Scaffold,tRNA,rRNA,rRNAp,Mito,Plastid,GC,GC-dev,GC-out,Len,MD,PD,Organelle
NC_042304.1,11,2,0,3,2,45.06,1.08,0,18239.32,0.0,0.0,0
NC_042286.1,15,0,0,3,0,46.01,0.13,0,15686.39,0.0,0.0,0
NC_042293.1,13,1,0,1,1,45.05,1.09,0,15473.62,0.0,0.0,0
NW_021821636.1,1,0,0,0,0,32.87,13.27,1,495.64,0.0,0.0,0
NW_021821637.1,0,12,0,0,0,49.47,3.32,0,488.48,0.0,0.0,0
NC_042294.1,7,0,0,2,0,45.73,0.41,0,12556.9,0.0,0.0,0
NC_042291.1,9,0,0,0,0,45.61,0.53,0,17515.29,0.0,0.0,0
NW_021821591.1,1,0,0,0,0,53.64,7.5,1,51.37,0.0,0.0,0
NC_042301.1,5,0,0,1,0,45.61,0.53,0,16842.3,0.0,0.0,0
NW_021821593.1,2,0,0,0,0,43.74,2.4,0,50.75,0.0,0.0,0
NC_042303.1,29,43,0,33,0,44.42,1.72,0,19418.4,0.02,0.0,0
NW_021821652.1,0,1,0,0,0,44.09,2.05,0,113.68,0.0,0.0,0
NW_021821587.1,1,0,0,0,0,45.07,1.07,0,52.85,0.0,0.0,0
NC_042298.1,37,0,0,0,25,44.72,1.42,0,16036.33,0.0,0.02,0
NC_009710.1,0,0,0,25,25,45.71,2.97,1,17.84,14.01,14.01,1
NC_048930.1,154,1953,27,0,13,41.81,0.93,0,29847.14,0.0,0.0,0
NC_048946.1,101,0,0,2,5,42.34,0.41,0,20866.69,0.0,0.0,0
NC_048948.1,92,0,0,0,1,42.85,0.11,0,18327.23,0.0,0.0,0
NW_023312438.1,62,0,0,0,0,42.43,0.31,0,29.68,0.0,0.0,0
NC_048928.1,53,0,0,0,9,41.92,0.82,0,31084.15,0.0,0.0,0
NW_023312450.1,45,0,0,0,0,41.99,0.75,0,23.79,0.0,0.0,0
NC_048945.1,43,0,0,0,2,42.76,0.02,0,21045.26,0.0,0.0,0
NW_023312408.1,9,0,0,0,0,46.53,3.78,1,10.26,0.0,0.0,0
NW_023312449.1,31,0,0,0,0,43.75,1.01,0,24.07,0.0,0.0,0
NC_048941.1,23,0,0,0,8,41.67,1.07,0,24215.96,0.0,0.0,0
NW_023312442.1,23,0,0,0,0,44.94,2.2,0,27.38,0.0,0.0,0
NC_048931.1,13,0,0,0,7,42.04,0.7,0,28544.83,0.0,0.0,0
NC_048936.1,9,1,1,0,7,42.32,0.42,0,25823.69,0.0,0.0,0
NC_048943.1,6,0,0,0,6,42.53,0.21,0,22135.53,0.0,0.0,0
NW_023312427.1,10,0,0,0,0,42.71,0.03,0,8.27,0.0,0.0,0
NW_023312410.1,10,0,0,0,0,42.27,0.47,0,9.95,0.0,0.0,0
NC_048940.1,4,0,0,0,5,42.02,0.72,0,24333.1,0.0,0.0,0
NC_048933.1,168,0,0,1,50,41.89,0.85,0,27901.19,0.0,0.02,0
NW_023312453.1,0,0,0,0,2,41.46,1.28,0,19.99,0.0,1.0,0
NW_023312429.1,1,0,0,0,0,42.62,0.12,0,7.51,0.0,0.0,0
NW_023312360.1,1,18,1,0,3,50.84,8.1,1,4273.5,0.0,0.01,0
NC_048947.1,100,0,0,0,25,42.64,0.1,0,20395.69,0.0,0.01,0
NC_048938.1,23,0,0,5,54,42.13,0.61,0,24660.99,0.0,0.02,0
NC_048929.1,82,0,0,25,15,41.79,0.95,0,30693.51,0.01,0.0,0
NW_019223694.1,0,0,0,25,13,31.12,9.28,1,5.96,41.96,21.82,1
NW_019223693.1,0,1,1,25,25,13.93,7.91,1,29.4,8.5,8.5,1
NC_036175.2,1,0,0,50,51,21.98,0.14,0,869.68,0.57,0.59,0
NC_036178.2,2,4,3,25,54,21.9,0.06,0,1185.18,0.21,0.46,0
NC_036186.2,3,0,0,38,70,21.83,0.01,0,2859.71,0.13,0.24,0
NC_036181.2,1,0,0,25,70,21.61,0.23,0,2046.25,0.12,0.34,0
NC_036176.2,2,0,0,0,19,21.75,0.09,0,1021.54,0.0,0.19,0
NC_036184.2,2,3,1,29,44,21.66,0.18,0,2085.12,0.14,0.21,0
NC_036174.2,2,0,0,0,0,21.76,0.08,0,982.73,0.0,0.0,0
NC_036182.2,4,3,0,50,20,21.88,0.04,0,2065.73,0.24,0.1,0
NC_028157.1,0,0,0,25,25,44.19,2.64,0,16.5,15.15,15.15,1
NW_022986746.1,0,89,0,0,0,42.22,0.67,0,18.54,0.0,0.0,0
NW_022986725.1,0,12,0,0,0,40.05,1.51,0,32.56,0.0,0.0,0
NC_047126.1,60,56,16,133,7,39.58,1.98,0,36052.97,0.04,0.0,0
NW_022986769.1,0,0,0,0,3,42.64,1.08,0,9.77,0.0,3.07,0
NC_047145.1,36,50,16,103,6,39.63,1.93,0,28068.09,0.04,0.0,0
NW_022986731.1,0,7,0,0,0,38.07,3.48,0,29.96,0.0,0.0,0
NC_047149.1,11,97,17,71,10,40.24,1.31,0,27914.78,0.03,0.0,0
NC_047130.1,29,43,16,102,12,39.76,1.8,0,34011.68,0.03,0.0,0
NW_022986712.1,0,1,0,0,0,36.25,5.3,1,42.07,0.0,0.0,0
NC_047139.1,22,43,16,86,10,38.98,2.57,0,32379.73,0.03,0.0,0
NC_047136.1,23,41,14,86,11,39.97,1.58,0,30435.92,0.03,0.0,0
NC_047132.1,59,51,22,80,9,39.95,1.61,0,34908.68,0.02,0.0,0
NW_022986701.1,3,0,0,0,0,41.7,0.14,0,57.33,0.0,0.0,0
NC_047147.1,50,36,13,69,13,40.36,1.2,0,29018.42,0.02,0.0,0
NC_047137.1,2,36,16,58,9,39.92,1.64,0,19532.15,0.03,0.0,0
NW_022986785.1,0,0,0,6,0,43.83,2.27,0,167.18,0.36,0.0,0
NW_022986716.1,0,2,0,0,0,38.91,2.65,0,37.13,0.0,0.0,0
NC_047131.1,5,64,22,52,6,39.69,1.86,0,33835.73,0.02,0.0,0
NC_001224.1,0,0,0,50,25,17.11,20.06,1,85.78,5.83,2.91,1
NC_001138.5,3,0,0,25,25,38.73,1.56,0,270.16,0.93,0.93,0
NC_001134.8,8,0,0,40,40,38.34,1.17,0,813.18,0.49,0.49,0
NC_001140.6,6,0,0,24,38,38.5,1.33,0,562.64,0.43,0.68,0
NC_001137.3,7,0,0,27,35,38.51,1.34,0,576.88,0.47,0.61,0
NC_001141.2,6,0,0,25,25,38.9,1.74,0,439.89,0.57,0.57,0
NC_001146.8,8,0,0,51,25,38.64,1.47,0,784.33,0.65,0.32,0
NC_001143.9,5,0,0,29,0,38.07,0.9,0,666.82,0.43,0.0,0
NC_001147.6,8,0,0,7,97,38.16,0.99,0,1091.29,0.06,0.89,0
NC_001142.9,7,0,0,12,35,38.37,1.21,0,745.75,0.16,0.47,0
NC_001148.4,11,0,0,4,65,38.06,0.9,0,948.07,0.04,0.69,0
NC_001133.9,2,0,0,0,0,39.27,2.1,0,230.22,0.0,0.0,0
NC_001136.10,14,0,0,20,28,37.91,0.74,0,1531.93,0.13,0.18,0
NT_167255.1,0,0,0,25,1,29.43,3.51,1,5.91,42.33,1.69,1
NC_011129.2,8,3,0,130,151,32.89,0.05,0,2592.52,0.5,0.58,0
NC_011100.1,6,3,0,50,128,31.85,1.09,0,1898.94,0.26,0.67,0
NC_011098.1,6,0,0,17,95,32.15,0.79,0,1842.27,0.09,0.52,0
NC_007012.1,0,0,0,25,25,46.08,1.56,0,16.65,15.01,15.01,1
NW_021641020.1,63,0,0,0,0,50.23,5.71,1,59.74,0.0,0.0,0
NC_041814.1,342,1,0,0,2,43.17,1.36,0,32798.78,0.0,0.0,0
NW_021641023.1,3,18,0,0,0,50.8,6.28,1,56.53,0.0,0.0,0
NW_021641060.1,8,9,5,0,0,49.1,4.58,1,108.77,0.0,0.0,0
NC_041810.1,35,39,12,2,2,44.75,0.22,0,38535.93,0.0,0.0,0
NC_041822.1,50,0,0,0,1,43.7,0.82,0,27284.36,0.0,0.0,0
NW_021641034.1,5,3,2,0,0,48.68,4.15,1,49.65,0.0,0.0,0
NC_041823.1,29,3,0,1,2,44.33,0.19,0,26243.06,0.0,0.0,0
NC_041821.1,18,8,2,0,3,44.03,0.49,0,27323.95,0.0,0.0,0
NC_041820.1,20,7,0,0,2,44.67,0.15,0,28024.58,0.0,0.0,0
NC_041815.1,23,3,2,1,0,44.79,0.26,0,31950.76,0.0,0.0,0
NW_021641040.1,1,16,6,0,0,45.64,1.12,0,755.71,0.0,0.0,0
NW_021641032.1,5,0,0,0,0,48.42,3.89,1,50.0,0.0,0.0,0
NC_041828.1,9,1,1,0,3,44.99,0.46,0,22791.53,0.0,0.0,0
NC_041827.1,12,1,0,0,1,43.68,0.85,0,24519.33,0.0,0.0,0
NC_041824.1,13,1,0,0,0,43.92,0.6,0,25980.62,0.0,0.0,0
NW_021641056.1,9,0,0,0,1,50.6,6.08,1,123.29,0.0,0.08,0
NW_021641018.1,3,0,0,0,0,44.07,0.46,0,72.95,0.0,0.0,0
NC_041816.1,140,2,0,1,16,43.53,0.99,0,31084.69,0.0,0.01,0
NC_041807.1,144,4,2,28,3,44.32,0.21,0,43577.28,0.01,0.0,0
NC_021766.1,0,0,0,25,25,39.69,4.47,1,17.09,14.63,14.63,1
NC_046330.1,0,0,0,515,132,43.13,1.03,0,3982.06,1.29,0.33,0
NC_046313.1,61,4,0,2820,740,43.8,0.35,0,120754.86,0.23,0.06,0
NC_046312.1,12,8,7,2781,760,42.97,1.18,0,133750.84,0.21,0.06,0
NC_046315.1,15,7,3,2228,585,42.6,1.56,0,100704.01,0.22,0.06,0
NC_046314.1,7,6,5,2347,699,42.73,1.42,0,118060.89,0.2,0.06,0
NC_046325.1,97,2,0,1242,406,44.51,0.35,0,51720.41,0.24,0.08,0
NC_046331.1,1,4,3,1192,345,44.14,0.02,0,47440.54,0.25,0.07,0
NC_046322.1,1,0,0,1450,350,43.07,1.08,0,61599.66,0.24,0.06,0
NC_046320.1,1,4,2,1598,431,42.99,1.17,0,74758.94,0.21,0.06,0
NC_046318.1,7,8,3,1812,464,42.84,1.31,0,86565.99,0.21,0.05,0
NC_046328.1,10,6,5,797,187,46.48,2.33,1,40056.2,0.2,0.05,0
NC_046317.1,8,7,4,1763,486,43.22,0.94,0,95499.01,0.18,0.05,0
NC_046316.1,11,30,6,1753,498,43.07,1.08,0,95883.65,0.18,0.05,0
NC_046319.1,4,6,3,1602,428,45.36,1.21,0,84102.02,0.19,0.05,0
NC_046329.1,4,0,0,236,78,48.36,4.21,1,12095.64,0.2,0.06,0
NC_046324.1,8,5,4,1016,296,45.07,0.92,0,52485.14,0.19,0.06,0
NC_046323.1,3,3,1,1148,302,43.39,0.77,0,56660.09,0.2,0.05,0
NC_046327.1,6,2,1,843,253,44.25,0.09,0,40449.26,0.21,0.06,0
NC_046321.1,6,3,2,1185,335,43.31,0.84,0,70688.3,0.17,0.05,0
NC_046326.1,1,4,1,809,220,45.52,1.37,0,43910.05,0.18,0.05,0
NC_027836.1,0,0,0,25,25,18.91,18.96,1,15.37,16.27,16.27,1
NW_023337140.1,0,0,0,25,25,58.1,20.24,1,34.44,7.26,7.26,0
NW_023337194.1,4,4,3,25,1,53.93,16.06,1,51.14,4.89,0.2,0
NC_049741.1,0,0,0,108,73,40.18,2.31,0,3438.05,0.31,0.21,0
NW_023337172.1,1,0,0,2,25,35.54,2.33,0,160.0,0.12,1.56,0
NW_023337170.1,2,0,0,0,0,36.77,1.1,0,100.0,0.0,0.0,0
NW_023337189.1,0,1,0,0,0,35.36,2.51,0,180.0,0.0,0.0,0
NC_005253.2,0,0,0,25,25,23.82,13.27,1,32.75,7.63,7.63,1
NW_023503278.1,4,0,0,99,146,38.61,1.52,0,2235.58,0.44,0.65,0
NW_023503284.1,1,4,0,75,20,38.92,1.83,0,957.32,0.78,0.21,0
NW_023503281.1,6,0,0,109,70,38.59,1.5,0,3023.47,0.36,0.23,0
NW_023503279.1,1,0,0,28,50,38.73,1.64,0,1039.77,0.27,0.48,0
NW_023503282.1,2,0,0,29,29,38.71,1.62,0,962.44,0.3,0.3,0
NW_023503280.1,4,0,0,35,61,38.83,1.74,0,2091.83,0.17,0.29,0
NW_023503277.1,2,0,0,6,32,38.83,1.74,0,898.31,0.07,0.36,0
NC_046603.1,0,0,0,25,25,21.53,23.14,1,16.12,15.51,15.51,1
NW_022881713.1,0,30,10,0,0,33.65,11.02,1,101.0,0.0,0.0,0
NW_022881714.1,0,25,8,0,0,33.43,11.24,1,85.91,0.0,0.0,0
NW_022881729.1,0,43,18,0,0,39.77,4.91,1,204.01,0.0,0.0,0
NW_022881716.1,0,17,7,0,0,35.74,8.94,1,55.91,0.0,0.0,0
NW_022881740.1,0,14,6,0,0,36.87,7.8,1,47.91,0.0,0.0,0
NW_022881741.1,0,7,3,0,0,36.13,8.54,1,25.08,0.0,0.0,0
NW_022881699.1,0,10,5,0,0,39.59,5.08,1,40.35,0.0,0.0,0
NC_046683.1,67,123,23,807,1424,45.55,0.87,0,68158.64,0.12,0.21,0
NC_046682.1,0,0,0,51,91,40.37,4.3,0,1881.07,0.27,0.48,0
NW_022881710.1,0,0,0,13,33,46.59,1.92,0,401.46,0.32,0.82,0
NW_022881708.1,0,0,0,20,37,47.39,2.72,0,806.71,0.25,0.46,0
NC_046680.1,79,1,0,197,328,46.21,1.54,0,23510.04,0.08,0.14,0
NW_022881746.1,0,0,0,2,8,44.93,0.26,0,58.8,0.34,1.36,0
NW_022881717.1,0,0,0,6,3,48.42,3.75,0,57.28,1.05,0.52,0
NW_022881705.1,0,0,0,5,2,50.87,6.2,1,130.76,0.38,0.15,0
NC_046681.1,22,0,0,140,303,43.84,0.83,0,30706.87,0.05,0.1,0
NC_012843.1,0,0,0,25,25,48.28,0.41,0,16.75,14.93,14.93,1
NW_023336870.1,0,0,0,25,25,68.36,19.68,1,74.85,3.34,3.34,0
NW_023336977.1,0,0,0,17,25,62.86,14.18,1,66.31,2.56,3.77,0
NW_023336935.1,1,0,0,0,25,65.69,17.01,1,38.3,0.0,6.53,0
NW_023336742.1,0,0,0,40,0,37.93,10.75,1,781.8,0.51,0.0,0
NW_023336789.1,2,0,0,0,25,59.0,10.31,1,324.25,0.0,0.77,0
NW_023336597.1,1,0,0,160,6,38.38,10.31,1,17861.46,0.09,0.0,0
NW_023336866.1,0,0,0,8,0,37.65,11.03,1,82.67,0.97,0.0,0
NW_023336654.1,0,0,0,56,2,37.21,11.47,1,5246.56,0.11,0.0,0
NW_023336643.1,0,0,0,61,0,38.35,10.34,1,6498.45,0.09,0.0,0
NW_023336682.1,0,0,0,39,0,37.81,10.88,1,3061.1,0.13,0.0,0
NW_023336862.1,0,0,0,23,0,39.07,9.61,0,100.19,2.3,0.0,0
NW_023336799.1,0,0,0,12,0,38.39,10.3,1,283.12,0.42,0.0,0
NW_023336679.1,1,1,0,35,0,38.05,10.63,1,3204.55,0.11,0.0,0
NW_023336883.1,3,0,0,0,0,62.05,13.36,1,62.88,0.0,0.0,0
NW_023336660.1,0,0,0,34,1,37.98,10.7,1,4423.86,0.08,0.0,0
NW_023336878.1,0,0,0,4,0,37.77,10.91,1,61.72,0.65,0.0,0
NW_023336656.1,0,0,0,34,2,37.87,10.82,1,4996.51,0.07,0.0,0
NW_023336798.1,0,0,0,8,0,38.44,10.25,1,272.71,0.29,0.0,0
NW_023336708.1,0,0,0,55,0,53.03,4.35,0,1389.3,0.4,0.0,0
NW_023336875.1,0,1,1,0,0,59.43,10.74,1,75.36,0.0,0.0,0
NW_023336745.1,0,0,0,12,0,36.67,12.02,1,802.4,0.15,0.0,0
NW_023336864.1,0,0,0,4,0,38.31,10.38,1,81.49,0.49,0.0,0
NW_023336794.1,1,0,0,25,0,45.18,3.5,0,311.13,0.8,0.0,0
NW_023336706.1,0,0,0,54,0,40.03,8.65,0,1593.98,0.34,0.0,0
NW_023336758.1,0,0,0,10,0,38.02,10.67,1,654.04,0.15,0.0,0
NW_023336652.1,0,0,0,27,2,38.0,10.68,1,5459.73,0.05,0.0,0
NW_023336673.1,0,0,0,72,0,41.81,6.87,0,3648.97,0.2,0.0,0
NW_023336751.1,0,0,0,10,0,38.18,10.51,1,754.37,0.13,0.0,0
NW_023336802.1,1,0,0,0,0,61.26,12.58,1,245.38,0.0,0.0,0
NW_023336589.1,33,0,0,168,3,41.23,7.46,0,30224.44,0.06,0.0,0
NW_023336853.1,0,6,3,8,0,55.44,6.76,0,114.8,0.7,0.0,0
NW_023336805.1,0,0,0,25,1,38.11,10.58,1,243.99,1.02,0.04,0
NW_023336734.1,0,0,0,31,0,54.38,5.69,0,838.91,0.37,0.0,0
NW_023336696.1,9,0,0,1,0,50.2,1.51,0,2127.94,0.0,0.0,0
NW_023336762.1,0,0,0,25,4,59.93,11.24,1,589.83,0.42,0.07,0
NW_023336733.1,0,0,0,9,0,38.23,10.46,1,997.44,0.09,0.0,0
NW_023336595.1,4,0,0,129,6,39.55,9.14,0,20049.4,0.06,0.0,0
NW_023336804.1,1,0,0,13,0,39.56,9.12,0,233.43,0.56,0.0,0
NW_023336701.1,0,1,0,10,0,36.73,11.96,1,1624.41,0.06,0.0,0
NW_023336622.1,0,0,0,82,2,39.47,9.22,0,9363.96,0.09,0.0,0
NW_023336820.1,0,6,0,0,0,52.52,3.84,0,177.33,0.0,0.0,0
NW_023336765.1,0,0,0,17,0,38.9,9.79,0,429.4,0.4,0.0,0
NW_023336741.1,0,1,1,22,0,50.91,2.22,0,779.25,0.28,0.0,0
NW_023336879.1,0,0,0,1,0,36.94,11.74,1,20.63,0.48,0.0,0
NW_023336861.1,0,4,1,0,0,58.14,9.46,0,97.56,0.0,0.0,0
NW_023336831.1,0,0,0,9,0,39.67,9.02,0,139.04,0.65,0.0,0
NW_023336791.1,0,0,0,4,0,38.16,10.52,1,297.61,0.13,0.0,0
NW_023336763.1,0,0,0,5,0,37.85,10.83,1,512.31,0.1,0.0,0
NW_023336754.1,1,0,0,8,14,58.91,10.22,1,697.8,0.11,0.2,0
NW_023336739.1,0,0,0,6,0,36.71,11.98,1,805.52,0.07,0.0,0
NW_023336736.1,0,0,0,6,0,37.97,10.71,1,788.41,0.08,0.0,0
NW_023336730.1,0,0,0,7,0,37.85,10.83,1,1062.19,0.07,0.0,0
NW_023336702.1,0,0,0,9,0,38.29,10.39,1,1588.48,0.06,0.0,0
NW_023336610.1,3,0,0,88,1,39.97,8.71,0,13796.25,0.06,0.0,0
NW_023336591.1,3,0,0,127,4,39.73,8.95,0,28454.63,0.04,0.0,0
NW_023336844.1,0,0,0,7,0,39.03,9.66,0,117.19,0.6,0.0,0
NW_023336834.1,0,0,0,8,0,54.78,6.09,0,136.38,0.59,0.0,0
NW_023336614.1,1,0,0,75,0,40.47,8.21,0,12325.45,0.06,0.0,0
NW_023336613.1,0,1,0,73,4,38.97,9.72,0,12814.15,0.06,0.0,0
NW_023336611.1,1,0,0,81,0,40.44,8.24,0,13528.43,0.06,0.0,0
NW_023336604.1,5,0,0,87,0,39.14,9.55,0,16197.32,0.05,0.0,0
NW_023336603.1,1,0,0,80,1,40.56,8.13,0,16610.97,0.05,0.0,0
NW_023336602.1,3,0,0,79,1,39.38,9.3,0,17014.28,0.05,0.0,0
NW_023336593.1,9,0,0,107,0,40.36,8.32,0,25002.69,0.04,0.0,0
NW_023336825.1,0,2,1,0,0,58.51,9.82,0,197.48,0.0,0.0,0
NW_023336693.1,3,0,0,26,0,46.22,2.46,0,2465.55,0.11,0.0,0
NW_023336689.1,0,0,0,29,1,45.71,2.97,0,2764.47,0.1,0.0,0
NW_023336637.1,0,0,0,15,1,37.38,11.3,1,6876.44,0.02,0.0,0
NW_023336633.1,0,0,0,50,2,39.13,9.55,0,7405.7,0.07,0.0,0
NW_023336621.1,0,0,0,59,0,38.82,9.87,0,9810.25,0.06,0.0,0
NW_023336619.1,0,0,0,60,1,39.38,9.3,0,9834.6,0.06,0.0,0
NW_023336612.1,0,0,0,67,3,39.75,8.93,0,13166.95,0.05,0.0,0
NW_023336596.1,8,0,0,87,2,40.4,8.28,0,20110.91,0.04,0.0,0
NW_023336587.1,0,0,0,111,1,38.8,9.88,0,34733.46,0.03,0.0,0
NW_023336896.1,0,0,0,1,0,36.54,12.14,1,44.76,0.22,0.0,0
NW_023336884.1,0,0,0,1,0,37.58,11.1,1,51.11,0.2,0.0,0
NW_023336812.1,0,0,0,8,0,39.59,9.09,0,226.28,0.35,0.0,0
NW_023336793.1,1,0,0,9,0,39.94,8.74,0,317.78,0.28,0.0,0
NW_023336748.1,0,0,0,13,0,38.72,9.96,0,794.67,0.16,0.0,0
NW_023336746.1,0,0,0,4,0,38.43,10.26,1,764.51,0.05,0.0,0
